111091089527727420853	60957
105237212888595777019	54762
106189723444098348646	50346
104987932455782713675	46900
109813896768294978296	45057
107117483540235115863	41954
112063946124358686266	41690
118418436905562612953	41329
113455290791279442483	41199
113686253941057080055	40373
102476152658204495450	39394
109895887909967698705	36110
113116318008017777871	36100
101261243957067319422	35533
109330684746468207713	35363
109412257237874861202	34220
118207880179234484610	33298
102518365620075109973	33171
100962871525684315897	32802
114536133164105123829	32063
101035196437264488455	31062
101849747879612982297	30918
100535338638690515335	30620
114056084994793924628	30318
107459220492917008623	30227
102373191596205712937	30182
110318982509514011806	29661
116594199576805510790	29525
113141491911286106535	29076
108527329601014444443	27985
111873853137122484021	27843
102871123574468799566	27757
107362628080904735459	27556
101145980349117737014	27240
108189587050871927619	26861
108470782772821648496	26584
107494834634231938072	26507
108176814619778619437	26392
105076678694475690385	26333
110286587261352351537	26280
111962077049890418486	26254
114229157887417365950	26053
113612142759476883204	26037
102034052532213921839	25653
102865263115020893218	25640
112374836634096795698	25555
103216887847401478447	25539
112617127041903537004	25241
105256156026694816333	25211
108705174211639807508	24730
113117251731252114390	24669
103486150650858067282	24460
100968313568314999910	24161
101793532287583914396	24129
113097851206100618060	24012
107234826207633309420	23983
114369704013100203178	23957
107753428759636856492	23940
102377882249382281108	23862
116040565882702717981	23850
117697399358826098478	23830
110258598415939907971	23627
105336425684208963598	23566
115105647022907007398	23536
112750091316252656625	23189
106289562822644692555	23112
115360471097759949621	23057
112726038360301567381	23043
107033731246200681024	22944
115961021629090154025	22925
102349305007676725479	22915
105547060999578080024	22866
108981679893410895534	22772
103586615087663445665	22729
110945896776944314708	22676
116369071500456395369	22624
105390077271236874234	22606
101962829696981365403	22328
108159551615224338529	22180
112957708071337353347	21975
117681034834791918293	21905
100892612779426154375	21893
102554407414282880001	21878
116043947632177598920	21861
115204805503581947511	21847
115530776534617554663	21719
115143234371607892983	21619
106831762557971378854	21302
103761326311610249621	21176
107013418740229269209	21162
114394128653474707020	21134
117757565120070816446	21089
118320665823821681206	21025
105216491640488683417	20975
101059049290567215584	20903
116247667398036716276	20862
116805285176805120365	20815
108542426628002931624	20727
114764567692252908296	20507
111262146038004038186	20287
